analysis_id	phase	script	hypothesis	unit_of_analysis	exclusion_criteria	primary_endpoint	multiplicity_family	taxonomy_version	status	registered_by	registered_date
q1_framework_generalisation	16_external_validation_and_generalisation	16_external_validation_and_generalisation/05_validate_framework_on_independent_dataset.py	The calibrated spatial-ecology framework (null models, rarefied descriptors, graph pruning) produces consistent, correctly-calibrated results when applied end-to-end to an independent spatial dataset, not only GSE300147.	dataset (the independent spatial dataset as a whole)	None pre-specified; dataset selection criteria are recorded in governance/validation_plan.tsv (`16_external_validation_and_generalisation/00_define_validation_claims.py`) before this analysis runs.	Qualitative + quantitative reproduction of calibration guarantees (Type I error, power) established in Spatial Graph Construction and Calibration on the new dataset.	primary (Q1)	n/a	planned	Irvine Tatenda Mutiti	2026-08-13
q2_variance_partition_confirmatory	13_clone_ecology_confirmatory_models	13_clone_ecology_confirmatory_models/01_fit_variance_partition_models.R	Clonal spatial/phenotypic descriptor variance decomposes into identity, context, and patient components with non-trivial, estimable magnitude for each -- not that spatial context is the only or dominant source.	clone, nested in patient and section	Clones excluded per TCR Clonal Analysis release (low-confidence/ambiguous calls); patients excluded per Quality Control release.	Posterior/estimated variance-component magnitudes (identity, context, patient) with patient-level uncertainty, on the frozen taxonomy_version from External Checkpoint Validation.	primary (Q2)	pending External Checkpoint Validation freeze	planned	Irvine Tatenda Mutiti	2026-08-13
q2_discrete_vs_continuous_structure_test	11_clone_spatial_descriptors	11_clone_spatial_descriptors/05_test_discrete_vs_continuous_structure.R	Clone ecological structure is better described by a continuous latent axis than by discrete categorical clusters (prespecified as the null to beat).	clone, nested in patient and section	Same as q2_variance_partition_confirmatory.	Model comparison statistic (BIC / gap statistic / continuity metric) between discrete and continuous structure models.	primary (Q2), gates whether a taxonomy is reported at all	produces v1 (provisional)	planned	Irvine Tatenda Mutiti	2026-08-13
q3_barrier_topology_confirmatory	14_spatial_interactions_and_barriers	14_spatial_interactions_and_barriers/03_model_barrier_topology_by_structure.R	Fibroblast/myeloid barrier topology (path/resistance distance to tumour) explains residual variance in clone-tumour engagement beyond cell-intrinsic state and niche composition alone.	clone, nested in patient and section	Same as q2_variance_partition_confirmatory; additionally requires a calibrated degree-preserving null (`09_spatial_graph_construction_and_calibration/08_run_calibration_suite_on_synthetic_data.py`) to have passed for the barrier-graph null model specifically.	Effect size of barrier topology on engagement after adjusting for state and niche composition, with patient-level uncertainty.	primary (Q3)	uses frozen taxonomy_version from External Checkpoint Validation	planned	Irvine Tatenda Mutiti	2026-08-13
q3_literature_benchmark	14_spatial_interactions_and_barriers	14_spatial_interactions_and_barriers/06_benchmark_against_published_barrier_studies.R	This project's barrier-topology effect sizes are quantitatively comparable in direction and/or magnitude to Grout/Kim 2022 (lung CAF exclusion) and Hwang et al. 2022 (pancreatic multicellular communities) -- stated as a comparison, not a directional hypothesis to be 'confirmed'.	study-level effect size comparison	n/a -- literature comparison, not a new statistical test on this project's own data.	Qualitative and, where the published studies report comparable effect-size statistics, quantitative concordance.	supporting (Q3), not independently multiplicity-corrected	n/a	planned	Irvine Tatenda Mutiti	2026-08-13
hpv_primary_contrast	15_hpv_stratified_analysis	15_hpv_stratified_analysis/03_compare_cellular_composition_patient_level.R;15_hpv_stratified_analysis/04_compare_ecosystem_and_clone_structure.R	RESERVED SLOT -- the single (or, capped, second) pre-specified HPV contrast for the entire thesis, to be named by scripts/15_hpv_stratified_analysis/01_prespecify_primary_hpv_contrasts.py before any HPV test is run. This registry entry exists to enforce the cap: no second confirmatory HPV analysis_id may be added without removing or explicitly justifying exceeding the 1-2 limit recorded in this file.	patient (n=5 HPV-positive vs n=5 HPV-negative)	Per Quality Control release; HPV status source is p16_ihc_status, cross-validated against Xenium HPV16-E5 probe signal in `15_hpv_stratified_analysis/00_validate_hpv_metadata_and_probe_signal.py`.	To be fixed by `15_hpv_stratified_analysis/01_prespecify_primary_hpv_contrasts.py` before this analysis runs, alongside its prospective minimum-detectable-effect-size simulation (`15_hpv_stratified_analysis/02_run_prospective_power_simulation.R`).	primary (HPV), capped at 1-2 for the entire thesis -- see config/reproducibility_policy.yaml gates.hpv_single_contrast	uses frozen taxonomy_version from External Checkpoint Validation, where relevant	reserved_not_yet_specified	Irvine Tatenda Mutiti	2026-08-13
null_model_calibration_suite	09_spatial_graph_construction_and_calibration	09_spatial_graph_construction_and_calibration/08_run_calibration_suite_on_synthetic_data.py	Each spatial null model (constrained permutation, degree-preserving, graph-preserving) achieves nominal Type I error and adequate power on synthetic data with known ground truth, at n=10-patient scale, before being trusted on real clones.	synthetic dataset replicate	n/a -- synthetic data generated under `09_spatial_graph_construction_and_calibration/07_generate_synthetic_ground_truth_patterns.py`.	Empirical Type I error rate at nominal alpha; power curve across a range of simulated effect sizes.	methods validation, gates all downstream spatial-association claims (Phases 10-14)	n/a	planned	Irvine Tatenda Mutiti	2026-08-13
tcr_false_positive_rate	08_tcr_clonal_analysis	08_tcr_clonal_analysis/04_estimate_false_positive_tcr_calls.R	Off-patient probes, non-T cells, and spatially permuted controls establish an empirical false-positive rate for clone calls, used to set detection thresholds -- not a directional biological hypothesis.	cell (for the false-positive-rate estimate itself); clone (downstream use)	Per Quality Control release.	Empirical false-positive rate per patient/probe, and the detection threshold it implies.	methods validation, gates all downstream clone-level claims (Phases 11-15)	n/a	planned	Irvine Tatenda Mutiti	2026-08-13
replicate_concordance	04_quality_control	04_quality_control/08_assess_replicate_concordance.R	Technical replicate sections (day nested within patient, 7/10 patients) show concordant counts, cell composition, expression, and spatial statistics -- explicitly expected to reproduce the source paper's own finding that 1 of 7 pairs does not.	section pair, nested in patient	n/a -- this analysis itself informs later exclusion decisions.	Concordance statistics per replicate pair; explicit flag for the pair expected to be discordant.	methods validation / QC, not multiplicity-corrected	n/a	planned	Irvine Tatenda Mutiti	2026-08-13
segmentation_robustness_check	13_clone_ecology_confirmatory_models	13_clone_ecology_confirmatory_models/05_test_segmentation_robustness.py	Confirmatory clone-tumour engagement results (q3_barrier_topology_confirmatory and the engagement component of q2_variance_partition_confirmatory) are not artefacts of the primary segmentation, and are robust to an independently resegmented reference subset.	clone, on the `04_quality_control/05_resegment_reference_subset.py` resegmented reference subset	Restricted to sections included in the `04_quality_control/05_resegment_reference_subset.py` resegmented subset only.	Direction and approximate magnitude concordance between primary and resegmented-subset estimates for the same effect.	robustness check on q2/q3, not independently multiplicity-corrected	uses frozen taxonomy_version from External Checkpoint Validation	planned	Irvine Tatenda Mutiti	2026-08-13
